Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,EngineDisplacement
Acura,Gasoline,6,28,21,2.4
Acura,Gasoline,4,35,25,1.8
Alfa Romeo,Gasoline,6,24,17,3
Alfa Romeo,Gasoline,4,33,24,2
Aston Martin,Gasoline,12,19,12,6
Audi,Gasoline,10,22,14,5.5
Audi,Gasoline,8,26,17,3.5
Audi,Gasoline,6,27,19,3.3
Audi,Gasoline,4,30,23,2.3
Audi,Gasoline,4,32,24,2
Bentley,Gasoline,12,20,12,6
Bentley,Gasoline,8,22,13,6
BMW,Gasoline,12,20,13,5.5
BMW,Gasoline,8,23,15,5
BMW,Gasoline,6,28,19,3.3
BMW,Diesel,6,29,23,2.2
BMW,Gasoline,4,32,23,2
BMW,Gasoline,3,29,28,1.4
BMW,Diesel,4,41,30,1.2
BMW,Gasoline,2,33,36,1.2
BMW,Electricity,0,109,133,0
Buick,Gasoline,6,26,18,3
Buick,Gasoline,4,27,20,2.4
Buick,Gasoline,4,31,23,2.2
Cadillac,Gasoline,8,21,14,5.3
Cadillac,Gasoline,8,21,15,5.1
Cadillac,Gasoline,6,25,17,3.2
Cadillac,Gasoline,6,26,18,3
Cadillac,Gasoline,4,30,22,2
Cadillac,Gasoline,4,32,22,2.2
Chevrolet,Gasoline,8,23,15,5.4
Chevrolet,Gasoline,8,21,15,5.2
Chevrolet,Gasoline,6,24,17,3.4
Chevrolet,Diesel,4,29,21,2
Chevrolet,Gasoline,4,31,21,2
Chevrolet,Gasoline,4,34,27,1.1
Chevrolet,Electricity,0,110,128,0
Chrysler,Gasoline,8,25,16,5.7
Chrysler,Gasoline,6,29,20,3.2
Chrysler,Gasoline,4,36,23,2
Dodge,Gasoline,10,19,12,6.2
Dodge,Gasoline,8,23,14,5.7
Dodge,Gasoline,8,24,15,5
Dodge,Gasoline,6,27,18,3
Dodge,Gasoline,4,25,19,3.2
Ferrari,Gasoline,12,16,12,6.3
Ferrari,Gasoline,8,22,16,3.9
Fiat,Gasoline,4,30,22,2
Fiat,Gasoline,4,34,26,1.4
Fiat,Electricity,0,103,121,0
Ford,Gasoline,6,18,11,3.5
Ford,Gasoline,8,21,14,5.7
Ford,Gasoline,8,22,15,5
Ford,Gasoline,6,23,17,3.3
Ford,Gasoline,4,25,19,3.1
Ford,Gasoline,4,31,24,2.2
Ford,Gasoline,3,40,29,1.3
Ford,Electricity,0,96,118,0
Genesis,Gasoline,8,23,15,5
Genesis,Gasoline,6,24,17,3.3
Genesis,Gasoline,6,27,17,3.3
GMC,Gasoline,8,21,15,5
GMC,Gasoline,6,23,17,3.2
GMC,Gasoline,4,27,20,2.2
GMC,Diesel,4,29,21,2
Honda,Gasoline,6,28,19,3.1
Honda,Gasoline,4,37,29,1.1
Honda,Gasoline,4,38,30,1.1
Hyundai,Gasoline,6,25,18,3
Hyundai,Gasoline,4,34,27,1.4
Hyundai,Electricity,0,122,150,0
Infiniti,Gasoline,8,22,15,5.6
Infiniti,Gasoline,6,27,20,2.9
Infiniti,Gasoline,4,30,22,2
Infiniti,Gasoline,4,27,25,1.5
Jaguar,Gasoline,8,23,15,3
Jaguar,Gasoline,6,26,18,3
Jaguar,Gasoline,4,30,21,2
Jaguar,Diesel,4,39,30,1.1
Jeep,Gasoline,8,19,13,5.7
Jeep,Gasoline,8,22,14,5.7
Jeep,Gasoline,6,22,17,3.3
Jeep,Gasoline,6,27,19,3
Jeep,Gasoline,4,27,21,2
Jeep,Gasoline,4,31,24,2.2
Kia,Gasoline,8,23,15,4.9
Kia,Gasoline,6,25,18,3
Kia,Gasoline,4,33,27,1.1
Kia,Electricity,0,92,120,0
Lamborghini,Gasoline,12,17,10,6.5
Lamborghini,Gasoline,10,21,14,5.5
Land Rover,Gasoline,8,19,14,5.3
Land Rover,Gasoline,6,23,17,3
Land Rover,Gasoline,4,27,20,2.4
Land Rover,Diesel,6,28,22,2
Lexus,Gasoline,8,22,16,4
Lexus,Gasoline,6,28,20,2.3
Lexus,Gasoline,6,28,21,2.4
Lexus,Gasoline,4,30,22,2
Lexus,Gasoline,4,36,39,1
Lincoln,Gasoline,6,24,16,3.9
Lincoln,Gasoline,4,29,23,2.2
Lotus,Gasoline,6,24,17,3.3
Maserati,Gasoline,8,20,14,5.4
Maserati,Gasoline,6,24,16,3
Mazda,Gasoline,4,34,26,1.4
Mazda,Gasoline,4,35,27,1.3
McLaren Automotive,Gasoline,8,23,16,3.5
Mercedes-Benz,Gasoline,12,20,13,5.5
Mercedes-Benz,Gasoline,8,22,16,3.3
Mercedes-Benz,Gasoline,6,25,19,3
